Filename	K_Value	Best_Like
genoLike_12Feb_ngsAdmix_WG_K2_seed14041.log	2	-1537048085.348484after669iterations
genoLike_12Feb_ngsAdmix_WG_K2_seed21349.log	2	-1534650739.043506after514iterations
genoLike_12Feb_ngsAdmix_WG_K2_seed82680.log	2	-1537048085.003067after606iterations
genoLike_12Feb_ngsAdmix_WG_K3_seed14041.log	3	-1457756511.209800after314iterations
genoLike_12Feb_ngsAdmix_WG_K3_seed21349.log	3	-1457756511.559099after311iterations
genoLike_12Feb_ngsAdmix_WG_K3_seed82680.log	3	-1457756511.025938after456iterations
genoLike_12Feb_ngsAdmix_WG_K4_seed14041.log	4	-1422921949.885918after1350iterations
genoLike_12Feb_ngsAdmix_WG_K4_seed21349.log	4	-1417605167.541105after563iterations
genoLike_12Feb_ngsAdmix_WG_K4_seed82680.log	4	-1417640543.956759after501iterations
genoLike_12Feb_ngsAdmix_WG_K5_seed14041.log	5	-1388247259.114630after1002iterations
genoLike_12Feb_ngsAdmix_WG_K5_seed21349.log	5	-1382525061.261487after739iterations
genoLike_12Feb_ngsAdmix_WG_K5_seed82680.log	5	-1382525048.993405after575iterations
genoLike_12Feb_ngsAdmix_WG_K6_seed14041.log	6	-1355127766.048087after720iterations
genoLike_12Feb_ngsAdmix_WG_K6_seed21349.log	6	-1349148961.177222after600iterations
genoLike_12Feb_ngsAdmix_WG_K6_seed82680.log	6	-1355127766.064994after868iterations
genoLike_12Feb_ngsAdmix_WG_K7_seed14041.log	7	-1321806133.412160after1800iterations
genoLike_12Feb_ngsAdmix_WG_K7_seed21349.log	7	-1321806132.682611after950iterations
genoLike_12Feb_ngsAdmix_WG_K7_seed82680.log	7	-1326334618.938277after1000iterations
